Player,Pos,Games GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Total Yds Touch,Total Yds YScm,RRTD,Year,Fpts
Jonathan Taylor,RB,17.0,51.0,40.0,360.0,2.0,12.0,76.0,2.4,21.2,332.0,1811.0,18.0,107.0,372.0,2171.0,20.0,2021,349.1
Cooper Kupp,WR,17.0,191.0,145.0,1947.0,16.0,89.0,59.0,8.5,114.5,4.0,18.0,0.0,1.0,149.0,1965.0,16.0,2021,365.00000000000006
Deebo Samuel,WR,15.0,121.0,77.0,1405.0,6.0,51.0,83.0,4.8,87.8,59.0,365.0,8.0,21.0,136.0,1770.0,14.0,2021,291.5
Najee Harris,RB,17.0,94.0,74.0,467.0,3.0,22.0,25.0,4.4,27.5,307.0,1200.0,7.0,62.0,381.0,1667.0,10.0,2021,263.7
Justin Jefferson,WR,17.0,167.0,108.0,1616.0,10.0,75.0,56.0,6.4,95.1,6.0,14.0,0.0,1.0,114.0,1630.0,10.0,2021,275.0
Austin Ekeler,RB,16.0,94.0,70.0,647.0,8.0,31.0,40.0,4.4,40.4,206.0,911.0,12.0,53.0,276.0,1558.0,20.0,2021,302.8
Davante Adams,WR,16.0,169.0,123.0,1553.0,11.0,84.0,59.0,7.7,97.1,0.0,0.0,0.0,0.0,123.0,1553.0,11.0,2021,282.8
Joe Mixon,RB,16.0,48.0,42.0,314.0,3.0,11.0,52.0,2.6,19.6,292.0,1205.0,13.0,60.0,334.0,1519.0,16.0,2021,264.9
Ja'Marr Chase,WR,17.0,128.0,81.0,1455.0,13.0,56.0,82.0,4.8,85.6,7.0,21.0,0.0,2.0,88.0,1476.0,13.0,2021,262.1
Nick Chubb,RB,14.0,25.0,20.0,174.0,1.0,9.0,40.0,1.4,12.4,228.0,1259.0,8.0,61.0,248.0,1433.0,9.0,2021,203.3
Dalvin Cook,RB,13.0,49.0,34.0,224.0,0.0,9.0,24.0,2.6,17.2,249.0,1159.0,6.0,57.0,283.0,1383.0,6.0,2021,185.3
Mark Andrews,TE,9.0,153.0,107.0,1361.0,9.0,75.0,43.0,6.3,80.1,1.0,0.0,0.0,0.0,108.0,1361.0,9.0,2021,241.6
Alvin Kamara,RB,10.0,67.0,47.0,439.0,5.0,20.0,31.0,3.6,33.8,240.0,898.0,4.0,42.0,287.0,1337.0,9.0,2021,211.2
Tyreek Hill,WR,16.0,159.0,111.0,1239.0,9.0,75.0,75.0,6.5,72.9,9.0,96.0,0.0,4.0,120.0,1335.0,9.0,2021,239.0
Antonio Gibson,RB,14.0,52.0,42.0,294.0,3.0,12.0,73.0,2.6,18.4,258.0,1037.0,7.0,65.0,300.0,1331.0,10.0,2021,202.1
Ezekiel Elliott,RB,17.0,65.0,47.0,287.0,2.0,17.0,21.0,2.8,16.9,237.0,1002.0,10.0,55.0,284.0,1289.0,12.0,2021,222.4
Leonard Fournette,RB,13.0,84.0,69.0,454.0,2.0,30.0,23.0,4.9,32.4,180.0,812.0,8.0,45.0,249.0,1266.0,10.0,2021,219.1
Stefon Diggs,WR,17.0,164.0,103.0,1225.0,10.0,66.0,61.0,6.1,72.1,0.0,0.0,0.0,0.0,103.0,1225.0,10.0,2021,232.0
