Player,Pos,Ridge,RF,SVM,NeuralNet
Jonathan Taylor,RB,245.4478977908368,258.3979999999999,251.4832411046752,222.01529
Cooper Kupp,WR,248.448548513567,242.866,262.6556787609678,234.58192
Deebo Samuel,WR,216.7447604523732,173.38800000000003,227.98626065541183,193.25838
Najee Harris,RB,188.7496287200832,250.81200000000007,189.5383121913985,169.0087
Justin Jefferson,WR,199.5032354408442,225.80600000000007,209.11769343352924,188.2588
Austin Ekeler,RB,204.21113432550436,206.076,206.5178874777166,185.68639
Davante Adams,WR,204.92789076667185,215.958,212.69424873685924,192.55453
Joe Mixon,RB,179.85623383719076,201.35,180.70120478647283,164.0274
Ja'Marr Chase,WR,184.70548744310128,191.51,193.7333722844494,173.636
Nick Chubb,RB,154.84757085539906,168.22400000000005,155.20019448977428,142.64717
Dalvin Cook,RB,153.03335243655738,135.76399999999998,151.8283434816671,139.49007
Mark Andrews,TE,178.75276106803503,166.74,182.31088256703916,166.6356
Alvin Kamara,RB,164.8632817991171,158.44600000000003,164.15732254315753,145.9801
Tyreek Hill,WR,172.35462226190035,166.86999999999998,174.03222327353393,156.4376
Antonio Gibson,RB,158.81270251407147,153.66199999999998,156.6522228218483,144.76515
Ezekiel Elliott,RB,154.573522848067,157.42599999999996,152.93706642784534,144.12923
Leonard Fournette,RB,164.98401652642383,210.97200000000004,162.89128358137455,147.60352
Stefon Diggs,WR,163.5417334513685,151.61199999999997,164.62499080350528,153.63785
Josh Jacobs,RB,149.12096765198163,172.71599999999998,146.8793319412397,135.7798
Javonte Williams,RB,149.13797014805505,139.466,144.12484105278037,130.2979
Diontae Johnson,WR,166.26718985485928,159.62000000000003,165.8156481485721,151.46014
D.J. Moore,WR,148.41728951685832,138.564,148.55737135363535,135.49509
Aaron Jones,RB,146.52355662214546,103.514,144.94077952142436,132.21463
Tyler Lockett,WR,151.8659267674632,144.05200000000002,156.8943675241245,144.04814
CeeDee Lamb,WR,151.0327103302332,141.75800000000004,153.727777199464,141.45604
Cordarrelle Patterson,RB,147.48180160521173,119.078,146.0529460697764,129.62325
David Montgomery,RB,143.92801522766,87.55999999999996,142.25004328400527,136.21863
Mike Williams,WR,153.9159987185875,196.8,155.92319218109645,143.03229
Keenan Allen,WR,153.7211147006077,164.68600000000006,153.98511159570126,142.93202
Melvin Gordon,RB,132.80732174918208,118.868,130.90211452323922,126.86868
Travis Kelce,TE,156.96657204525607,183.04399999999995,158.3027555419322,147.72136
James Conner,RB,164.27542891232486,148.16400000000002,162.10233820736138,153.74574
Michael Pittman Jr.,WR,141.60842926233204,133.9,142.98535886155727,133.78972
Chris Godwin,WR,162.77095581112857,168.628,165.19783376839138,154.08209
AJ Dillon,RB,138.3392204327422,129.77000000000007,133.9527872063353,123.85545
Elijah Mitchell,RB,126.89676875600388,149.08399999999995,124.52717559475371,116.72572
Devin Singletary,RB,127.74025738258663,93.972,124.826369024178,117.326256
Derrick Henry,RB,143.41998449293675,143.23400000000004,141.21180201472643,133.57016
Tee Higgins,WR,151.96395922928622,163.89999999999998,155.60041003752605,143.97049
Darnell Mooney,WR,138.23431631695277,162.944,137.36882157711807,126.86982
D'Andre Swift,RB,148.11050057944286,101.494,141.87095765568984,122.37416
Terry McLaurin,WR,132.60744980128425,159.346,133.6509120376674,127.34496
Damien Harris,RB,136.5352985267731,131.78799999999995,134.7031877291178,134.35309
Brandin Cooks,WR,141.77763043962852,156.38200000000003,141.8111038001649,134.24403
Tony Pollard,RB,126.13956043274096,106.528,120.87847123222772,112.21158
Mike Evans,WR,151.81559533683725,137.474,153.94692583702405,149.50412
Hunter Renfrow,WR,149.2868819508124,172.31199999999998,147.41749521620625,138.67319
Kyle Pitts,TE,120.0673517488747,118.198,121.21875128315897,113.21452
Jaylen Waddle,WR,144.09097699246658,164.27,142.53394315016195,135.47606
Marquise Brown,WR,139.14186693056988,162.65200000000004,137.53992358375007,130.03542
Darrel Williams,RB,133.10868625407753,135.20199999999997,129.5827989509035,124.0244
Christian Kirk,WR,129.2020020899874,130.144,129.27379421991637,123.29264
James Robinson,RB,122.9642740128171,120.388,118.97468303987972,115.47971
D.K. Metcalf,WR,137.93130000528146,139.084,136.08054607551645,129.74203
Sony Michel,RB,114.42035263125042,110.80600000000004,108.76285839766382,105.94554
Amon-Ra St. Brown,WR,133.6930977731562,124.43999999999998,130.96553216917874,121.658035
Michael Carter,RB,115.77471115347996,61.12999999999998,111.86656203622478,102.34339
Chase Claypool,WR,122.76655047217648,124.328,121.82111815707503,112.23552
George Kittle,TE,134.30867543182862,145.27199999999996,135.33265259323403,129.23767
Kendrick Bourne,WR,121.02292076670436,97.266,118.9147779508242,107.71079
DeVonta Smith,WR,116.60922825099794,89.366,116.59881679543372,114.35339
Miles Sanders,RB,99.26395430341265,129.36,94.41420656151983,78.07966
Chase Edmonds,RB,115.04483386403962,82.972,110.27315072399988,107.519905
A.J. Brown,WR,132.28896233644195,174.5439999999999,131.59476255453885,123.616974
Jakobi Meyers,WR,112.06527601521324,109.60399999999994,109.0444926964258,95.88521
Amari Cooper,WR,127.53753323825362,137.924,126.61328687536104,124.16112
Darrell Henderson,RB,116.83030555571568,156.96999999999994,111.14449940285398,109.7077
Devontae Booker,RB,108.06034274148512,79.806,100.9243735232638,97.62611
Saquon Barkley,RB,108.30244433219262,88.912,101.8736239234288,99.63969
Tyler Boyd,WR,118.50053234697587,138.298,115.64353206659274,109.409164
A.J. Green,WR,112.18209763864404,128.65,110.61410691897764,105.95966
Myles Gaskin,RB,109.47738858807102,115.30399999999996,101.8985799607111,96.36855
Brandon Aiyuk,WR,107.16165548552856,103.65800000000002,107.11762874673413,106.680565
Marvin Jones,WR,109.97754414972162,98.16199999999998,107.05358133732356,96.80565
Dallas Goedert,TE,112.17922395783732,127.41800000000003,112.76013952856576,110.77017
Van Jefferson,WR,105.93981469788278,122.79800000000002,104.33611767549826,105.36073
Dalton Schultz,TE,116.59128078937324,95.32000000000002,114.09562144906192,111.89212
Rob Gronkowski,TE,129.81816104632514,137.00999999999993,129.55503305269798,123.45809
Rashaad Penny,RB,94.9242276939854,88.90599999999999,88.61950920363869,69.933586
Chuba Hubbard,RB,99.80582823144762,96.912,93.34309958769887,92.829865
Christian McCaffrey,RB,129.53676220661302,120.456,126.08635145041212,117.16365
Mike Gesicki,TE,106.07480012874878,101.88399999999992,100.80099330200412,91.26481
Courtland Sutton,WR,97.03828096891502,87.91599999999997,94.25366613798728,93.8308
Russell Gage,WR,117.65273163391048,123.204,114.22439582163614,108.37171
Devonta Freeman,RB,101.3984895002516,71.24,94.50909373017372,89.38394
Mike Davis,RB,97.21830875450344,102.17799999999995,89.50431062877661,79.578896
Jamaal Williams,RB,96.77654515148356,121.5,91.50012780757686,88.83427
Mecole Hardman,WR,98.71400817930515,121.232,93.81186665878238,89.17173
Tim Patrick,WR,100.4727001129705,94.71599999999998,98.4802654845693,99.52413
Rhamondre Stevenson,RB,98.0794075148562,75.23200000000001,90.26925154740483,88.179695
Adam Thielen,WR,127.5105525031776,147.67,124.625820442054,121.04433
Alexander Mattison,RB,96.55483445288932,68.978,88.95452283797442,86.77592
Marquez Callaway,WR,98.41252017595006,87.81400000000002,94.0975525081933,98.86421
Cole Beasley,WR,102.2275663098416,103.33799999999997,95.08577470196606,71.04888
D'Onta Foreman,RB,88.85111292963357,128.388,81.87299990990978,71.533005
D'Ernest Johnson,RB,84.97713003586176,92.41000000000004,76.67574440987583,65.15683
Noah Fant,TE,96.60868108249804,105.324,92.64592249897808,88.55975
K.J. Osborn,WR,99.6084886240676,97.518,93.86940830753352,100.13033
Darren Waller,TE,114.03429220332056,134.24799999999996,110.47658200675622,100.575745
Laviska Shenault Jr.,WR,91.00731777010164,115.10600000000002,83.50354570880664,73.33861
Emmanuel Sanders,WR,96.56064575104708,111.75400000000003,93.53214047692808,93.512566
Quez Watkins,WR,82.11751505174747,100.00000000000006,77.65106149562948,78.2081
Clyde Edwards-Helaire,RB,89.6650492683315,66.448,82.96986888738104,67.26334
Brandon Bolden,RB,90.14539865674053,72.92200000000001,82.52106661398338,75.017525
Rex Burkhead,RB,84.81020368169416,62.48799999999999,76.87876438652779,69.20741
Cedrick Wilson Jr.,WR,97.01928452371132,78.52999999999999,90.60570066112793,94.134346
Cole Kmet,TE,78.39751751032964,66.34199999999996,73.45434697424994,50.371803
Deonte Harris,WR,99.0727753196731,74.71000000000001,92.54238484740996,84.13594
Ty Johnson,RB,89.45797855151832,72.01800000000001,81.64385481733252,72.252754
Jarvis Landry,WR,104.16649693403292,95.41,98.86070466050504,96.316536
J.D. McKissic,WR,106.06291898359768,71.09599999999996,98.3373106876629,90.440056
Kalif Raymond,WR,86.72101702202278,91.662,81.2001479320473,89.182655
Hunter Henry,TE,96.89345960847186,105.226,91.59199132050534,98.25456
Robert Woods,WR,120.36158110297444,146.374,117.18108541305824,108.467545
Donovan Peoples-Jones,WR,89.0403701878702,79.53800000000001,84.91170758739204,83.68483
Tyler Conklin,TE,84.0873208775028,72.12600000000002,78.27500715072438,71.43086
Elijah Moore,WR,110.88526092806369,101.68200000000004,104.19468553118732,100.11426
Dawson Knox,TE,98.11246374465512,99.19799999999996,93.51080828803748,100.72057
Nyheim Hines,RB,84.72293364561813,79.204,75.22013536513742,68.284515
T.J. Hockenson,TE,104.20582435799577,123.65000000000002,98.94341580998672,92.72349
Latavius Murray,RB,83.43217240287966,76.30000000000004,75.84250846988738,63.29156
DeAndre Hopkins,WR,115.94502082654842,132.34400000000002,112.31608314345704,109.37373
Bryan Edwards,WR,79.2494084814205,110.01799999999996,74.94047220443677,77.17739
Byron Pringle,WR,87.3134514257415,104.082,81.22019321578328,81.53404
Jared Cook,TE,86.38781806361608,72.02200000000002,79.53954647128499,79.96703
Tyler Higbee,TE,90.4005138331157,95.498,84.41290677731854,81.59151
Kareem Hunt,RB,98.02255575974868,113.31800000000004,89.57343587409301,87.09304
Robby Anderson,WR,83.15936195801163,102.04600000000002,74.14738925076988,85.70848
Antonio Brown,WR,135.84559468798645,140.176,131.7492345468298,115.872635
Gabriel Davis,WR,89.13131836678774,115.33199999999997,82.25082163547884,88.793
Zay Jones,WR,76.72114518837174,53.404,70.0460873975652,57.58738
Kenyan Drake,RB,88.43620683827262,61.424,80.13801039128097,72.00488
Allen Lazard,WR,89.82117108733169,107.70199999999996,84.93361363602217,91.74968
Kenneth Gainwell,RB,89.35054552802367,85.69400000000002,79.38434654742939,74.78912
Justin Jackson,RB,76.94049388245949,54.17600000000002,68.09262566832845,57.21643
Zack Moss,RB,88.10996787665546,59.62400000000002,78.75050886124055,76.87676
Khalil Herbert,RB,71.27858811216623,79.13000000000001,62.10231172232345,47.280468
Kenny Golladay,WR,74.0598467256142,75.994,68.51045936589365,50.803345
Rashod Bateman,WR,91.16876657259895,76.34799999999998,84.03265052112413,67.272354
DeVante Parker,WR,98.52676853490686,110.908,92.63470945107188,85.96904
Rondale Moore,WR,82.38594721114706,94.26199999999996,72.95914477178712,70.49298
Alex Collins,RB,67.71307582611686,96.50400000000002,59.60596277295137,45.21078
Gerald Everett,TE,80.66539248072941,71.06200000000001,74.21845234342537,74.537735
Pat Freiermuth,TE,89.47453010724264,79.004,81.44943131117662,79.740486
C.J. Uzomah,TE,77.22836592601699,99.146,71.26065972867157,83.05996
Corey Davis,WR,102.14207895156602,129.87200000000004,97.33370621785116,93.7702
Ronald Jones II,RB,71.09744446906677,47.42599999999999,61.93964516476784,43.58395
Henry Ruggs III,WR,107.44485377387444,97.238,104.99532475440772,93.76209
Nelson Agholor,WR,73.83905063877317,61.334,67.51279643200638,68.402115
Jalen Guyton,WR,76.82199714987779,74.03199999999998,68.42659684705558,69.32144
David Njoku,TE,73.90645464847795,76.68799999999999,67.00943272757804,76.05346
Nick Westbrook-Ikhine,WR,77.14088112264375,72.126,69.75798265656778,71.172516
Braxton Berrios,WR,83.02499128937878,69.66600000000001,72.75910847643705,65.80727
Jerry Jeudy,WR,89.5090846937045,69.70799999999998,83.10166341741504,69.41375
Boston Scott,RB,74.87041177827906,58.86,65.5711827387217,51.280907
David Johnson,RB,70.52498539611426,86.76800000000001,60.85400197158643,39.742233
Keelan Cole,WR,65.61680946603464,54.43200000000001,59.12987073607386,55.53184
Jamison Crowder,WR,87.85035744999274,102.82999999999998,78.82165033422362,57.0388
