Player,Pos,Year,Ridge,RF,SVM,NeuralNet
DeVante Parker,WR,2021,-34.64810417466191,-46.327999999999946,-32.14077682035456,-23.885971069335938
George Kittle,TE,2018,132.19361651424182,144.50199999999998,139.09538515281884,147.55672760009764
Cedrick Wilson,WR,2003,25.42018510275622,21.994,37.368679629145504,39.20300025939942
Cedric Peerman,RB,2014,-14.741593718025904,-13.139999999999985,-1.890556749178323,-7.438605308532715
Charles Clay,TE,2018,-62.002722687737325,-58.34999999999999,-56.88530714971792,-53.716600036621095
Chris Hogan,WR,2020,-15.834805612155431,-15.513999999999992,-3.2142568170415267,-3.964570236206054
Heath Miller,TE,2009,67.45465512430354,80.48800000000003,72.26990754900858,87.06125869750977
Alfred Blue,RB,2015,19.36495337562737,-14.082000000000008,27.391977500598387,38.56514663696289
Dexter McCluster,WR,2016,-75.06337024654465,-61.27199999999998,-65.69938059983245,-50.37650604248047
Jamie Harper,RB,2012,-8.764892465905863,-24.944,4.270293870345935,-0.7729217529296868
Michael Turner,RB,2007,-32.09068508457791,-45.26400000000002,-22.91775707777881,-9.090069580078122
Austin Ekeler,RB,2021,168.9397638665841,212.028,172.8200549301197,183.67737274169923
Ike Hilliard,WR,2001,6.970491534176702,-19.569999999999965,9.493909826136855,13.996116638183594
Cody Latimer,WR,2016,-17.58429758297472,-29.966000000000008,-4.7824501647404905,-8.93988265991211
Terry McLaurin,WR,2021,23.66719149166039,19.73599999999999,22.02703267535176,36.35246276855469
Terrell Owens,WR,2009,1.90024014260797,17.340000000000003,2.004286102320634,13.950512695312511
Julius Jones,RB,2009,47.00179602951757,33.981999999999985,53.66512343920479,73.88182067871094
Frisman Jackson,WR,2003,-17.62868171820704,-11.534000000000008,-4.554724401891575,-11.525651550292968
Mark Ingram,RB,2019,115.85277721902187,89.43800000000002,121.82562028292232,123.1312484741211
Chad Mustard,TE,2005,-18.68588074528299,-27.274,-5.612948679856668,-12.9055606842041
Aveion Cason,RB,2003,-21.135943029711385,-7.534000000000006,-13.026155620353263,-5.63513259887695
Kyle Rudolph,TE,2019,0.2713429886965741,-3.487999999999971,4.581645339022117,3.0077011108398466
Aaron Jones,RB,2020,38.27216732910577,51.14400000000006,36.90915640685827,59.59432067871094
Owen Daniels,TE,2011,26.475507858575668,38.71400000000001,32.65238471001848,46.77430267333985
Kareem Hunt,RB,2018,22.115485651362206,-11.180000000000092,19.48890181560006,49.00932617187499
Mike Williams,WR,2007,149.65589909105148,153.77800000000002,161.65965515774778,162.69549407958985
Taylor Jacobs,WR,2005,-23.480574564140294,-20.284,-11.58425581387101,-15.058944702148438
Jaron Brown,WR,2017,30.356318075183097,47.746,40.846374587881805,47.749575805664065
Ryan Griffin,TE,2015,15.218910670613887,30.062,27.905148846749363,23.28843460083008
George Wrighster,TE,2005,-16.074576662114232,-4.701999999999984,-4.355752098157467,0.5933685302734375
Amani Toomer,WR,2008,2.0366437217840456,36.88600000000002,5.202194217203015,11.199653625488281
Brian Kozlowski,TE,2007,-20.582488392458263,-34.9156,-7.3558654907111745,-13.586541175842285
Demetrius Williams,WR,2008,-34.766856141206574,-25.98199999999997,-25.27243028051008,-8.660778045654297
Shad Meier,TE,2003,-4.10532586546929,-3.3880000000000017,9.293551695777964,1.693727874755858
Steven Jackson,RB,2008,54.984865972399774,25.82199999999992,57.33261609004896,74.02455291748046
Devonta Freeman,RB,2015,205.30744443357057,189.85200000000003,216.02840607643523,223.08504333496097
Tajae Sharpe,WR,2020,-26.706545931163085,-44.676,-17.887034127270283,-18.038166046142578
Tre'Quan Smith,WR,2020,24.904033383406396,23.922000000000004,33.98267742789159,43.02794036865234
Jeff Heuerman,TE,2017,-6.935673960485076,-22.78600000000003,4.642098746851886,3.3584587097167997
Daryl Richardson,RB,2013,-40.09238977559752,-61.34,-30.249721766691472,-17.94745864868164
Anthony Thomas,RB,2007,-39.38085419310405,-26.11399999999999,-29.9044118847358,-14.066537475585939
Jesse Chatman,RB,2005,24.79912018054246,-8.348000000000042,35.049333807364874,48.417844390869135
DeSean Jackson,WR,2017,-15.506338305475538,15.896000000000017,-17.431523875635946,-5.532606506347662
Ryan Moats,RB,2007,-8.123380918861155,-38.662000000000006,4.370200565316555,1.177225875854493
Marion Barber III,RB,2009,5.489439777181246,29.416,7.076026911071381,21.264492797851574
David Johnson,RB,2016,-143.2521090176897,-116.69400000000005,-139.4135046343119,-127.44523162841797
Danny Farmer,WR,2001,-18.68363436813378,-22.06,-8.328961130630276,-0.9311782836914091
Emmitt Smith,RB,2003,-61.62091255973998,2.741999999999976,-59.10074422651785,-44.673892211914065
Allen Robinson,WR,2018,87.9377155386531,80.91599999999997,99.49692760401425,100.77234153747558
Nick Goings,RB,2006,-21.095794542191136,-40.986,-9.946114106950668,-5.331521606445314
Darren Sproles,RB,2009,45.03046032231771,62.48200000000003,53.067860598287496,57.13023376464844
Dennis Northcutt,WR,2007,56.78198478573682,34.40799999999999,68.1110144979419,72.12400512695312
Lance Kendricks,TE,2018,-7.441625465493772,-6.454000000000008,3.5849483475828663,-0.023647308349609375
Coby Fleener,TE,2013,51.37475745090219,62.382000000000005,60.44932206202923,71.39866333007812
Matthew Slater,WR,2012,-26.411451340481328,-17.172000000000008,-13.503723674547745,-27.312774658203125
Jerick McKinnon,RB,2015,-12.989812123259796,2.069999999999993,-4.263778231149786,14.113073730468756
Troy Fumagalli,TE,2020,-7.248455661696319,6.2699999999999925,4.759393129029533,0.2067584991455078
Jerramy Stevens,TE,2010,-27.285473546771343,-29.46200000000001,-15.723427936880054,-16.92037124633789
Bill Baber,TE,2003,-20.134509570700324,-17.178,-7.352282560967225,-13.613468170166016
Jonathan Grimes,RB,2015,28.967347585436805,10.224000000000023,40.575536458472726,40.99260330200195
Jerome Bettis,RB,2003,31.8853409395272,9.007999999999996,36.97806702823468,45.79456634521483
Darren Fells,TE,2015,31.857162704454417,50.964000000000006,43.64395332082858,37.74237403869629
Giovani Bernard,RB,2017,21.042176179323636,37.78,28.451860550466108,34.66402740478517
David Clowney,WR,2009,-3.682221392847353,-6.133999999999986,8.560976465964188,5.7531959533691435
Donald Jones,WR,2012,23.93320473532758,10.200000000000031,34.63184002301839,42.4554412841797
Dez Bryant,WR,2018,-97.752038649571,-77.23199999999999,-93.87453648810175,-91.20193939208984
Zach Ertz,TE,2018,89.38522602970488,96.53600000000002,92.18280466164828,95.65802459716798
Arrelious Benn,WR,2012,-64.58849729981169,-58.33,-58.40186357704428,-65.36462097167968
Steve Johnson,WR,2009,-37.23324150956955,-40.637999999999984,-25.10020027498672,-24.33049774169922
Marcus Murphy,RB,2018,-5.678854371906162,-36.22999999999998,7.198465888644854,7.738746261596681
Corey Dillon,RB,2004,176.9731080245021,174.29799999999994,183.67593649358224,201.93326644897462
Ryan Hannam,TE,2003,-9.05452195272084,-13.33666666666666,4.132659760036958,-3.454343795776367
Ahman Green,RB,2008,-18.30579592617955,-32.903999999999975,-8.84271728204829,-3.6383308410644517
Chris Moore,WR,2017,22.232648348819907,26.532000000000007,35.823007022209914,31.05092849731445
Cody Latimer,WR,2019,-7.438127985421957,-2.4940000000000357,1.7002709887126315,13.42861557006836
Reggie Wayne,WR,2014,-0.2636313816309723,-21.90200000000001,2.910980061674138,13.6639389038086
LeGarrette Blount,RB,2016,131.44171423423865,140.28000000000006,137.6012715795257,148.3336929321289
Kellen Winslow,TE,2009,66.02473775282289,41.634000000000015,74.75844974314053,92.45659027099612
Leonard Fournette,RB,2021,122.10863116173468,143.264,131.21734910115083,135.0519577026367
Dion Lewis,RB,2012,-14.298223020351823,-11.567999999999998,-2.0266928276094767,-1.7981922149658196
Dante Rosario,TE,2011,-19.107491069905464,-13.034,-7.358551425172955,-1.1589374542236328
Zach Line,RB,2017,-8.963048487938986,-41.12600000000001,3.179819999745936,-3.3814758300781254
Aaron Jones,RB,2021,29.019325237273364,-2.4579999999998847,29.03595574030024,46.566131591796875
Jonnu Smith,TE,2019,36.30204388882224,26.658000000000012,45.054659635936446,46.95142288208008
Eric Saubert,TE,2020,-30.269941804970745,-66.74399999999997,-17.83861603901471,-18.687302017211913
Courtney Roby,WR,2013,-19.940656610608897,-22.686,-6.723109031734056,-14.398793601989746
Cethan Carter,TE,2020,-16.046085953545248,-29.315999999999992,-2.8771077841202306,-8.929846954345702
Jamel White,RB,2002,25.61600747262977,45.23400000000005,31.160648139784428,36.30457611083983
Plaxico Burress,WR,2003,-29.0453914817476,-7.561999999999983,-34.386564281790555,-17.6799346923828
Andre Johnson,WR,2004,64.58120173816766,58.646000000000015,64.20888858825457,70.14728393554688
Andre Holmes,WR,2013,38.54043482606584,43.916,51.64695015401809,45.197652435302736
Dustin Keller,TE,2010,49.16536205797786,58.22399999999999,56.26555158309196,67.65535278320313
Antonio Andrews,RB,2016,-86.07138902864479,-94.032,-80.02661330923625,-68.43771362304688
Andre Johnson,WR,2013,32.73704631622138,-2.5859999999999843,23.24556278089165,46.41508789062499
Torry Holt,WR,2006,30.400378016731626,38.42399999999998,25.668922859126862,42.54822998046876
Tony Scheffler,TE,2008,12.012267837488224,13.305999999999996,18.50142725034497,19.595266723632818
Jay Ajayi,RB,2016,143.57214532002334,135.98200000000003,154.3711776356527,162.67886047363282
Dominique Dafney,TE,2021,-23.16198472852762,-14.402,-10.937407985135009,-15.124784088134765
T.Y. Hilton,WR,2018,79.37024513536039,72.44000000000003,79.21494262118864,86.89933013916016
Dan Campbell,TE,2003,2.136361455465064,-5.299999999999997,11.29716097777944,9.234495162963867
ReShard Lee,RB,2006,18.968780082180068,15.088133333333335,31.69720423964226,25.422435760498047
