Player,Pos,Year,Y,Ridge,RF,SVM,NeuralNet
DeVante Parker,WR,2021,83.5,118.14810417466192,129.82799999999995,115.64077682035456,107.38597
George Kittle,TE,2018,212.7,80.50638348575816,68.19800000000001,73.60461484718115,65.14327
Cedrick Wilson,WR,2003,66.7,41.27981489724378,44.706,29.3313203708545,27.497
Cedric Peerman,RB,2014,6.5,21.241593718025904,19.639999999999983,8.390556749178323,13.938605
Charles Clay,TE,2018,26.9,88.90272268773732,85.24999999999999,83.78530714971792,80.6166
Chris Hogan,WR,2020,18.8,34.63480561215543,34.31399999999999,22.014256817041527,22.76457
Heath Miller,TE,2009,148.9,81.44534487569646,68.41199999999998,76.63009245099143,61.83874
Alfred Blue,RB,2015,102.2,82.83504662437264,116.282,74.80802249940162,63.634853
Dexter McCluster,WR,2016,7.3,82.36337024654465,68.57199999999997,72.99938059983245,57.676506
Jamie Harper,RB,2012,22.3,31.064892465905864,47.244,18.029706129654063,23.072922
Michael Turner,RB,2007,39.2,71.29068508457792,84.46400000000003,62.11775707777881,48.29007
Austin Ekeler,RB,2021,302.8,133.86023613341592,90.772,129.9799450698803,119.12263
Ike Hilliard,WR,2001,130.0,123.0295084658233,149.56999999999996,120.50609017386314,116.00388
Cody Latimer,WR,2016,11.6,29.18429758297472,41.56600000000001,16.38245016474049,20.539883
Terry McLaurin,WR,2021,175.0,151.3328085083396,155.264,152.97296732464824,138.64754
Terrell Owens,WR,2009,149.8,147.89975985739204,132.46,147.79571389767938,135.84949
Julius Jones,RB,2009,131.0,83.99820397048244,97.018,77.33487656079521,57.11818
Frisman Jackson,WR,2003,3.9,21.52868171820704,15.434000000000008,8.454724401891575,15.425652
Mark Ingram,RB,2019,225.5,109.64722278097813,136.06199999999998,103.67437971707768,102.36875
Chad Mustard,TE,2005,3.3000000000000003,21.98588074528299,30.574,8.912948679856669,16.20556
Aveion Cason,RB,2003,52.7,73.83594302971139,60.23400000000001,65.72615562035327,58.335133
Kyle Rudolph,TE,2019,92.2,91.92865701130344,95.68799999999996,87.61835466097789,89.1923
Aaron Jones,RB,2020,231.4,193.12783267089424,180.25599999999997,194.49084359314173,171.80568
Owen Daniels,TE,2011,112.7,86.22449214142434,73.98599999999999,80.04761528998152,65.9257
Kareem Hunt,RB,2018,217.2,195.08451434863775,228.38000000000008,197.71109818439996,168.19067
Mike Williams,WR,2007,188.9,39.24410090894851,35.12199999999998,27.240344842252235,26.204506
Taylor Jacobs,WR,2005,15.5,38.9805745641403,35.784,27.08425581387101,30.558945
Jaron Brown,WR,2017,87.2,56.843681924816906,39.454,46.3536254121182,39.450424
Ryan Griffin,TE,2015,47.1,31.881089329386118,17.038000000000004,19.19485115325064,23.811565
George Wrighster,TE,2005,30.5,46.57457666211423,35.201999999999984,34.85575209815747,29.906631
Amani Toomer,WR,2008,104.0,101.96335627821595,67.11399999999998,98.79780578279698,92.80035
Brian Kozlowski,TE,2007,1.0,21.582488392458263,35.9156,8.355865490711174,14.586541
Demetrius Williams,WR,2008,30.5,65.26685614120657,56.48199999999997,55.77243028051008,39.160778
Shad Meier,TE,2003,20.4,24.50532586546929,23.788,11.106448304222036,18.706272
Steven Jackson,RB,2008,200.1,145.11513402760022,174.27800000000008,142.76738390995104,126.07545
Devonta Freeman,RB,2015,277.90000000000003,72.59255556642947,88.04800000000002,61.8715939235648,54.814957
Tajae Sharpe,WR,2020,35.5,62.206545931163085,80.176,53.38703412727028,53.538166
Tre'Quan Smith,WR,2020,84.1,59.1959666165936,60.17799999999999,50.11732257210841,41.07206
Jeff Heuerman,TE,2017,30.700000000000003,37.63567396048508,53.48600000000003,26.05790125314812,27.341541
Daryl Richardson,RB,2013,40.6,80.69238977559752,101.94,70.84972176669147,58.54746
Anthony Thomas,RB,2007,31.9,71.28085419310405,58.01399999999999,61.8044118847358,45.966537
Jesse Chatman,RB,2005,85.1,60.300879819457535,93.44800000000004,50.05066619263512,36.682156
DeSean Jackson,WR,2017,113.6,129.10633830547553,97.70399999999998,131.03152387563594,119.13261
Ryan Moats,RB,2007,18.3,26.42338091886116,56.96200000000001,13.929799434683446,17.122774
Marion Barber III,RB,2009,166.3,160.81056022281876,136.884,159.22397308892863,145.0355
David Johnson,RB,2016,-0.7,142.5521090176897,115.99400000000004,138.7135046343119,126.74523
Danny Farmer,WR,2001,34.3,52.98363436813378,56.36,42.62896113063027,35.23118
Emmitt Smith,RB,2003,51.3,112.92091255973996,48.55800000000002,110.40074422651784,95.97389
Allen Robinson,WR,2018,125.8,37.86228446134691,44.88400000000002,26.30307239598576,25.027658
Nick Goings,RB,2006,26.9,47.995794542191135,67.886,36.846114106950665,32.23152
Darren Sproles,RB,2009,142.5,97.46953967768228,80.01799999999997,89.4321394017125,85.36977
Dennis Northcutt,WR,2007,106.8,50.01801521426318,72.39200000000001,38.6889855020581,34.675995
Lance Kendricks,TE,2018,32.5,39.94162546549377,38.95400000000001,28.915051652417134,32.523647
Coby Fleener,TE,2013,108.8,57.42524254909781,46.41799999999999,48.350677937970765,37.401337
Matthew Slater,WR,2012,-3.5,22.911451340481328,13.672000000000008,10.003723674547745,23.812775
Jerick McKinnon,RB,2015,72.9,85.8898121232598,70.83000000000001,77.16377823114979,58.786926
Troy Fumagalli,TE,2020,18.0,25.24845566169632,11.730000000000008,13.240606870970469,17.793242
Jerramy Stevens,TE,2010,5.8,33.08547354677135,35.262000000000015,21.52342793688005,22.720371
Bill Baber,TE,2003,2.5,22.634509570700324,19.678,9.852282560967224,16.113468
Jonathan Grimes,RB,2015,70.5,41.5326524145632,60.275999999999975,29.924463541527277,29.507397
Jerome Bettis,RB,2003,128.2,96.3146590604728,119.192,91.22193297176533,82.40543
Darren Fells,TE,2015,59.6,27.742837295545584,8.635999999999997,15.956046679171422,21.857626
Giovani Bernard,RB,2017,130.20000000000002,109.15782382067638,92.42000000000002,101.74813944953392,95.53597
David Clowney,WR,2009,30.200000000000003,33.88222139284736,36.33399999999999,21.63902353403581,24.446804
