,Baruta Algorithm,Lasso Selection,Mallows Cp
40-49 FGA,0.135348439,0.787543904,124.532139
Scoring XP%,0.099374298,5.736790579,56.39759957
Scoring FG%,0.090157936,6.98416292,51.69101551
Scoring XPM,0.063902088,7.413528493,92.16234478
Kickoffs TB,0.054722091,0,191.5083499
Scoring XPA,0.047974467,0,96.98907638
Kickoffs KOAvg,0.044359823,1.888476363,190.1657464
Scoring Lng,0.042925581,0,55.87552404
Age,0.041909192,0,189.9353859
Kickoffs TB%,0.039498661,0,192.8180638
Kickoffs KOYds,0.03746917,0,180.5027961
30-39 FGA,0.036374972,2.411108699,156.552609
Kickoffs KO,0.028193396,0,180.7476205
Scoring FGA,0.028067634,0,105.2632702
40-49 FGM,0.027816313,1.297256063,126.5473626
50+ FGA,0.027493103,0,155.186841
30-39 FGM,0.025818063,0,141.1387124
20-29 FGM,0.023491954,0,147.630026
Scoring FGM,0.02078255,0,95.12291213
20-29 FGA,0.020081322,0,148.9553758
Games G,0.017966043,0,175.3460096
50+ FGM,0.012151144,4.026355035,154.2894786
Punting Yds,0.011782467,5.079694562,69.29752938
Punting Lng,0.006446537,0,136.1947525
0-19 FGA,0.004836403,0,190.2873533
Punting Y/P,0.00482253,0.675626267,154.1704521
0-19 FGM,0.004384939,0,190.1684644
Punting Pnt,0.001848886,0,69.20197936
Games GS,0,0,192.819923
Punting Blck,0,0,136.1098737
